team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate
Warrior,Warrior,100,51,43,6,0.5100,0.0600
Warrior,Mage,100,0,100,0,0.0000,0.0000
Warrior,Rogue,100,2,98,0,0.0200,0.0000
Warrior,Priest,100,99,1,0,0.9900,0.0000
Warrior,Warlock,100,82,18,0,0.8200,0.0000
Warrior,Paladin,100,46,54,0,0.4600,0.0000
Warrior,Hunter,100,74,26,0,0.7400,0.0000
Mage,Warrior,100,100,0,0,1.0000,0.0000
Mage,Mage,100,20,13,67,0.2000,0.6700
Mage,Rogue,100,12,88,0,0.1200,0.0000
Mage,Priest,100,100,0,0,1.0000,0.0000
Mage,Warlock,100,100,0,0,1.0000,0.0000
Mage,Paladin,100,100,0,0,1.0000,0.0000
Mage,Hunter,100,100,0,0,1.0000,0.0000
Rogue,Warrior,100,98,2,0,0.9800,0.0000
Rogue,Mage,100,88,12,0,0.8800,0.0000
Rogue,Rogue,100,19,81,0,0.1900,0.0000
Rogue,Priest,100,100,0,0,1.0000,0.0000
Rogue,Warlock,100,100,0,0,1.0000,0.0000
Rogue,Paladin,100,0,100,0,0.0000,0.0000
Rogue,Hunter,100,100,0,0,1.0000,0.0000
Priest,Warrior,100,1,99,0,0.0100,0.0000
Priest,Mage,100,0,100,0,0.0000,0.0000
Priest,Rogue,100,0,100,0,0.0000,0.0000
Priest,Priest,100,64,36,0,0.6400,0.0000
Priest,Warlock,100,0,100,0,0.0000,0.0000
Priest,Paladin,100,0,100,0,0.0000,0.0000
Priest,Hunter,100,100,0,0,1.0000,0.0000
Warlock,Warrior,100,23,77,0,0.2300,0.0000
Warlock,Mage,100,0,100,0,0.0000,0.0000
Warlock,Rogue,100,0,100,0,0.0000,0.0000
Warlock,Priest,100,99,1,0,0.9900,0.0000
Warlock,Warlock,100,41,49,10,0.4100,0.1000
Warlock,Paladin,100,0,100,0,0.0000,0.0000
Warlock,Hunter,100,100,0,0,1.0000,0.0000
Paladin,Warrior,100,54,46,0,0.5400,0.0000
Paladin,Mage,100,0,100,0,0.0000,0.0000
Paladin,Rogue,100,100,0,0,1.0000,0.0000
Paladin,Priest,100,100,0,0,1.0000,0.0000
Paladin,Warlock,100,100,0,0,1.0000,0.0000
Paladin,Paladin,100,71,29,0,0.7100,0.0000
Paladin,Hunter,100,99,0,1,0.9900,0.0100
Hunter,Warrior,100,26,74,0,0.2600,0.0000
Hunter,Mage,100,0,100,0,0.0000,0.0000
Hunter,Rogue,100,0,100,0,0.0000,0.0000
Hunter,Priest,100,0,100,0,0.0000,0.0000
Hunter,Warlock,100,1,99,0,0.0100,0.0000
Hunter,Paladin,100,0,99,1,0.0000,0.0100
Hunter,Hunter,100,40,28,32,0.4000,0.3200
