team1,team2,runs,team1_wins,team2_wins,draws,team1_winrate,draw_rate
Warrior+Mage,Warrior+Mage,100,50,49,1,0.5000,0.0100
Warrior+Mage,Warrior+Rogue,100,100,0,0,1.0000,0.0000
Warrior+Mage,Warrior+Priest,100,98,2,0,0.9800,0.0000
Warrior+Mage,Warrior+Warlock,100,100,0,0,1.0000,0.0000
Warrior+Mage,Warrior+Paladin,100,70,30,0,0.7000,0.0000
Warrior+Mage,Warrior+Hunter,100,93,7,0,0.9300,0.0000
Warrior+Mage,Mage+Rogue,100,85,15,0,0.8500,0.0000
Warrior+Mage,Mage+Priest,100,17,69,14,0.1700,0.1400
Warrior+Mage,Mage+Warlock,100,10,87,3,0.1000,0.0300
Warrior+Mage,Mage+Paladin,100,0,100,0,0.0000,0.0000
Warrior+Mage,Mage+Hunter,100,65,17,18,0.6500,0.1800
Warrior+Mage,Rogue+Priest,100,100,0,0,1.0000,0.0000
Warrior+Mage,Rogue+Warlock,100,93,7,0,0.9300,0.0000
Warrior+Mage,Rogue+Paladin,100,15,85,0,0.1500,0.0000
Warrior+Mage,Rogue+Hunter,100,100,0,0,1.0000,0.0000
Warrior+Mage,Priest+Warlock,100,100,0,0,1.0000,0.0000
Warrior+Mage,Priest+Paladin,100,100,0,0,1.0000,0.0000
Warrior+Mage,Priest+Hunter,100,100,0,0,1.0000,0.0000
Warrior+Mage,Warlock+Paladin,100,83,17,0,0.8300,0.0000
Warrior+Mage,Warlock+Hunter,100,100,0,0,1.0000,0.0000
Warrior+Mage,Paladin+Hunter,100,100,0,0,1.0000,0.0000
Warrior+Rogue,Warrior+Mage,100,0,100,0,0.0000,0.0000
Warrior+Rogue,Warrior+Rogue,100,42,42,16,0.4200,0.1600
Warrior+Rogue,Warrior+Priest,100,44,56,0,0.4400,0.0000
Warrior+Rogue,Warrior+Warlock,100,92,8,0,0.9200,0.0000
Warrior+Rogue,Warrior+Paladin,100,17,83,0,0.1700,0.0000
Warrior+Rogue,Warrior+Hunter,100,76,24,0,0.7600,0.0000
Warrior+Rogue,Mage+Rogue,100,0,100,0,0.0000,0.0000
Warrior+Rogue,Mage+Priest,100,0,100,0,0.0000,0.0000
Warrior+Rogue,Mage+Warlock,100,27,73,0,0.2700,0.0000
Warrior+Rogue,Mage+Paladin,100,0,100,0,0.0000,0.0000
