label,team1,team2,seed,winner,end_reason,duration_secs
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,48,team2,kill,51.80
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,49,team2,kill,39.23
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,50,team2,kill,34.13
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,51,team2,kill,35.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,52,team2,kill,36.88
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,53,team2,kill,40.63
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,54,team2,kill,33.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,55,team1,kill,48.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,56,team1,kill,54.03
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,57,team2,kill,41.03
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,58,team2,kill,40.52
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,59,team2,kill,39.27
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,60,team2,kill,34.05
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,61,team2,kill,60.82
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,62,team2,kill,33.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,63,team2,kill,51.32
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,64,team2,kill,50.62
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,65,team2,kill,40.98
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,66,team2,kill,42.22
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,67,team2,kill,40.50
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,68,team2,kill,41.05
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,69,team2,kill,40.92
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,70,team2,kill,38.02
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,71,team2,kill,75.97
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,72,team2,kill,29.73
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,73,team2,kill,39.37
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,74,team2,kill,28.62
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,75,team1,kill,45.37
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,76,team2,kill,40.48
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,77,team2,kill,37.12
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,78,team2,kill,36.02
BasicArena|control|Warrior+Priest_vs_Mage+Priest,Warrior+Priest,Mage+Priest,79,team2,kill,50.62
