label,team1,team2,seed,winner,end_reason,duration_secs
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,16,team1,kill,50.32
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,17,team2,kill,55.25
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,18,team2,kill,57.72
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,19,team2,kill,36.55
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,20,team1,kill,61.27
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,21,team1,kill,46.42
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,22,team2,kill,35.70
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,23,team2,kill,47.18
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,24,team2,kill,68.05
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,25,team2,kill,52.03
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,26,team2,kill,63.78
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,27,team2,kill,46.87
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,28,team2,kill,47.60
Paladin+Shaman+Warrior_vs_Rogue+Warlock+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Warlock+Shaman,29,team2,kill,43.13
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,0,team2,kill,66.57
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,1,team2,kill,119.06
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,2,team2,kill,52.78
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,3,team2,kill,51.90
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,4,team2,kill,119.88
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,5,team1,kill,74.73
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,6,team2,kill,119.06
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,7,team1,kill,61.92
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,8,team2,kill,118.24
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,9,team2,kill,117.09
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,10,team2,kill,101.44
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,11,team2,kill,75.07
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,12,team2,kill,62.35
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,13,team1,kill,78.80
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,14,team2,kill,118.53
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,15,team2,kill,69.58
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,16,team1,kill,82.42
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,17,team2,kill,111.29
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,18,team2,kill,74.63
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,19,team1,kill,83.95
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,20,team1,kill,84.72
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,21,team2,kill,106.99
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,22,team2,kill,116.54
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,23,team2,kill,92.74
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,24,team1,kill,82.42
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,25,team2,kill,54.73
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,26,team2,kill,107.13
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,27,team2,kill,129.65
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,28,team2,kill,84.30
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Hunter#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Hunter,29,team2,kill,112.83
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,0,team2,kill,102.42
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,1,team2,kill,93.02
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,2,team2,kill,99.06
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,3,team2,kill,101.41
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,4,team2,kill,84.22
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,5,team2,kill,102.52
Paladin+Shaman+Warrior_vs_Rogue+Paladin+Shaman#both3v3,Paladin+Shaman+Warrior,Rogue+Paladin+Shaman,6,team2,kill,89.77
